Fila	Nodo	Estación	Hora	Ruta
1	1	Li-Ka-Shing-Center-(Campus-Dr) 	7:00 AM	1050-Arastradero
2	2	Y2E2-(Via-Ortega) 	7:02 AM	1050-Arastradero
3	3	Main-Quad-(Memorial-Church)	7:04 AM	1050-Arastradero
4	4	California-Ave-@-Yale-St	7:10 AM	1050-Arastradero
5	5	1500-Page-Mill-Rd	7:16 AM	1050-Arastradero
6	6	3170-Porter-Dr	7:18 AM	1050-Arastradero
7	7	1050/1070-Arastradero-Rd	7:28 AM	1050-Arastradero
8	8	3165-Porter-Dr	7:33 AM	1050-Arastradero
9	9	Page-Mill-Rd-(Peter-Coutts-East)	7:35 AM	1050-Arastradero
10	10	El-Camino-Real-@-California-Ave 	7:41 AM	1050-Arastradero
11	11	Main-Quad-(Campus-Oval-Side) 	7:45 AM	1050-Arastradero
12	12	Li-Ka-Shing-Center-(Campus-Dr) 	7:50 AM	1050-Arastradero
13	13	Li-Ka-Shing-Center-(Campus-Dr) 	7:20 AM	1050-Arastradero
14	14	Y2E2-(Via-Ortega) 	7:22 AM	1050-Arastradero
15	15	Main-Quad-(Memorial-Church)	7:24 AM	1050-Arastradero
16	16	California-Ave-@-Yale-St	7:30 AM	1050-Arastradero
17	17	1500-Page-Mill-Rd	7:36 AM	1050-Arastradero
18	18	3170-Porter-Dr	7:38 AM	1050-Arastradero
19	19	1050/1070-Arastradero-Rd	7:48 AM	1050-Arastradero
20	20	3165-Porter-Dr	7:53 AM	1050-Arastradero
21	21	Page-Mill-Rd-(Peter-Coutts-East)	7:55 AM	1050-Arastradero
22	22	El-Camino-Real-@-California-Ave 	8:01 AM	1050-Arastradero
23	23	Main-Quad-(Campus-Oval-Side) 	8:05 AM	1050-Arastradero
24	24	Li-Ka-Shing-Center-(Campus-Dr) 	8:10 AM	1050-Arastradero
25	25	Li-Ka-Shing-Center-(Campus-Dr) 	7:40 AM	1050-Arastradero
26	26	Y2E2-(Via-Ortega) 	7:42 AM	1050-Arastradero
27	27	Main-Quad-(Memorial-Church)	7:44 AM	1050-Arastradero
28	28	California-Ave-@-Yale-St	7:50 AM	1050-Arastradero
29	29	1500-Page-Mill-Rd	7:56 AM	1050-Arastradero
30	30	3170-Porter-Dr	7:58 AM	1050-Arastradero
31	31	1050/1070-Arastradero-Rd	8:08 AM	1050-Arastradero
32	32	3165-Porter-Dr	8:13 AM	1050-Arastradero
33	33	Page-Mill-Rd-(Peter-Coutts-East)	8:15 AM	1050-Arastradero
34	34	El-Camino-Real-@-California-Ave 	8:21 AM	1050-Arastradero
35	35	Main-Quad-(Campus-Oval-Side) 	8:25 AM	1050-Arastradero
36	36	Li-Ka-Shing-Center-(Campus-Dr) 	8:30 AM	1050-Arastradero
37	37	Li-Ka-Shing-Center-(Campus-Dr) 	8:00 AM	1050-Arastradero
38	38	Y2E2-(Via-Ortega) 	8:02 AM	1050-Arastradero
39	39	Main-Quad-(Memorial-Church)	8:04 AM	1050-Arastradero
40	40	California-Ave-@-Yale-St	8:10 AM	1050-Arastradero
41	41	1500-Page-Mill-Rd	8:16 AM	1050-Arastradero
42	42	3170-Porter-Dr	8:18 AM	1050-Arastradero
43	43	1050/1070-Arastradero-Rd	8:28 AM	1050-Arastradero
44	44	3165-Porter-Dr	8:33 AM	1050-Arastradero
45	45	Page-Mill-Rd-(Peter-Coutts-East)	8:35 AM	1050-Arastradero
46	46	El-Camino-Real-@-California-Ave 	8:41 AM	1050-Arastradero
47	47	Main-Quad-(Campus-Oval-Side) 	8:45 AM	1050-Arastradero
48	48	Li-Ka-Shing-Center-(Campus-Dr) 	8:50 AM	1050-Arastradero
49	49	Li-Ka-Shing-Center-(Campus-Dr) 	8:20 AM	1050-Arastradero
50	50	Y2E2-(Via-Ortega) 	8:22 AM	1050-Arastradero
51	51	Main-Quad-(Memorial-Church)	8:24 AM	1050-Arastradero
52	52	California-Ave-@-Yale-St	8:30 AM	1050-Arastradero
53	53	1500-Page-Mill-Rd	8:36 AM	1050-Arastradero
54	54	3170-Porter-Dr	8:38 AM	1050-Arastradero
55	55	1050/1070-Arastradero-Rd	8:48 AM	1050-Arastradero
56	56	3165-Porter-Dr	8:53 AM	1050-Arastradero
57	57	Page-Mill-Rd-(Peter-Coutts-East)	8:55 AM	1050-Arastradero
58	58	El-Camino-Real-@-California-Ave 	9:01 AM	1050-Arastradero
59	59	Main-Quad-(Campus-Oval-Side) 	9:05 AM	1050-Arastradero
60	60	Li-Ka-Shing-Center-(Campus-Dr) 	9:10 AM	1050-Arastradero
61	61	Li-Ka-Shing-Center-(Campus-Dr) 	8:40 AM	1050-Arastradero
62	62	Y2E2-(Via-Ortega) 	8:42 AM	1050-Arastradero
63	63	Main-Quad-(Memorial-Church)	8:44 AM	1050-Arastradero
64	64	California-Ave-@-Yale-St	8:50 AM	1050-Arastradero
65	65	1500-Page-Mill-Rd	8:56 AM	1050-Arastradero
66	66	3170-Porter-Dr	8:58 AM	1050-Arastradero
67	67	1050/1070-Arastradero-Rd	9:08 AM	1050-Arastradero
68	68	3165-Porter-Dr	9:13 AM	1050-Arastradero
69	69	Page-Mill-Rd-(Peter-Coutts-East)	9:15 AM	1050-Arastradero
70	70	El-Camino-Real-@-California-Ave 	9:21 AM	1050-Arastradero
71	71	Main-Quad-(Campus-Oval-Side) 	9:25 AM	1050-Arastradero
72	72	Li-Ka-Shing-Center-(Campus-Dr) 	9:30 AM	1050-Arastradero
73	73	Li-Ka-Shing-Center-(Campus-Dr) 	9:00 AM	1050-Arastradero
