	Vehiculo0	Vehiculo1	Vehiculo2	Vehiculo3	Vehiculo4	Vehiculo5	Vehiculo6	Vehiculo7	Cliente1	Cliente2	Cliente3	Cliente4	Cliente5	Cliente6	Cliente7	Cliente8	Cliente9	Cliente10	Sobra
Vehiculo0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1	1	
Vehiculo1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1	1	
Vehiculo2	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1	1	
Vehiculo3	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1	1	
Vehiculo4	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1	1	
Vehiculo5	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1	1	
Vehiculo6	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1	1	
Vehiculo7	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1	1	
Cliente1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	
Cliente2	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	1	1	1	
Cliente3	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	
Cliente4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	
Cliente5	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	1	
Cliente6	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	
Cliente7	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	1	1	
Cliente8	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	1	1	
Cliente9	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	1	
Cliente10	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	
Sobra	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
